Johnson,Joe,c1234560,xymgkdo12,johnson@mtsu.edu,100
Wilson,Ron,c1234561,12wert87nx,wilson@mtsu.edu,-3
Smith,Joe,c1234562,tr87gj12asd,smith@mtsu.edu,110
Miller,Mary,c1234563,pk8ut64vk,miller@mtsu.edu,-4
Smith,Mary,c1234564,lkqwr8,msmith@mtsu.edu,-17
Wilson,Nancy,c1234565,12mncvbklpu,nwilson@mtsu.edu,120
Wilson,Nancy,c1234565,12mncvbklpu,nwilson@mtsu.edu,-120
Johnson,J,c1234550,xymgkd2,ajohnson@mtsu.edu,90
Wilson,Nancy,c1234565,12mncvbklpu,nwilsonmtsu.edu,120
Wilson,R,c1234551,12wt87nx,awilsonmtsu.edu,90
Smith,J,c1234552,tr87gj1sd,asmith@mtsu.edu,90.4
Miller,M,c1234553,pk8ut64k,zmiller@mtsu.edu,80
Smith,M,c1234554,lkqwr8sdf,nsmith@mtsu.edu,80
Wilson,N,c1234555,12mnclpu,dnwilson@mtsu.edu,80
Johnson,Jo,d1234560,xymgkdo12,jsohnson@mtsu.edu,90
Wilson,Ronn,d1234561,12wert87nx,wwilson@mtsu.edu,90
Smith,Jo,d1234562,tr87gj12asd,esmith@mtsu.edu,80
Miller,MJ,d1234563,pk8ut64vk,tmiller@mtsu.edu,80
Smith,MJ,d1234564,lkqwr8,rmsmith@mtsu.edu,75
Wilson,NK,d1234565,12mncvbklpu,fnwilson@mtsu.edu,99
Johnson,Jo Ann,d1234550,xymgkd2,wejohnson@mtsu.edu,99
Wilson,Rose,d1234551,12wt87nx,trwilson@mtsu.edu,99
Smith,MK,d1234552,tr87gj1sd,ersmith@mtsu.edu,100
Miller,ML,d1234553,pk8ut64k,hjmiller@mtsu.edu,100
Smith,MY,d1234554,lkqwr8sdf,klmsmith@mtsu.edu,100
Wilson,ND,d1234555,12mnclpu,khnwilson@mtsu.edu,100
